Identifier,Topic Key,English Source,Machine Translation,Edit Required,Clinical Harm Potential,Post-Edited Translation,CMQM Categories,MQM Categories,Notes
SA131.2,llm-cataract-hpi-us@1.0.0,I have trouble with headlight glare from other cars.,我被其他车的前大灯光线干扰。,,,,,,
SA131.3,llm-cataract-hpi-us@1.0.0,I can't read street signs anymore.,我现在看不懂路标了。,,,,,,
SA131.4,llm-cataract-hpi-us@1.0.0,I've had to stop driving completely.,我完全停止了驾驶。,,,,,,
SA131.5,llm-cataract-hpi-us@1.0.0,"No, I drive just fine.",“ 我开车完全没问题。 ”,,,,,,
SA131.6,llm-cataract-hpi-us@1.0.0,Driving is not a problem for me.,开车对我来说不是问题。,,,,,,
SA131.7,llm-cataract-hpi-us@1.0.0,I don't drive.,我不会开车。,,,,,,
SQ132,llm-cataract-hpi-us@1.0.0,"Do you have trouble reading small print, like on medicine bottles or food labels?",你是否有困难阅读小字，比如在药瓶或食品标签上？,,,,,,
SA132.1,llm-cataract-hpi-us@1.0.0,"Yes, I can't read the labels on my medication bottles.",是的，我看不懂我药瓶上的标签。,,,,,,
SA132.2,llm-cataract-hpi-us@1.0.0,I need a magnifying glass to read anything.,我需要放大镜才能阅读任何东西。,,,,,,
SA132.3,llm-cataract-hpi-us@1.0.0,Small print is very difficult for me.,小字对我来说很难看。,,,,,,
SA132.4,llm-cataract-hpi-us@1.0.0,"No, I can read small print fine.",“ 不，我可以清晰地阅读小字。 ”,,,,,,
SA132.5,llm-cataract-hpi-us@1.0.0,Reading is not a problem for me.,读书对我来说不是问题。,,,,,,
SA132.6,llm-cataract-hpi-us@1.0.0,I haven't really tried recently.,最近我并没有真正尝试过。,,,,,,
SQ133,llm-cataract-hpi-us@1.0.0,Do you have any trouble seeing the TV clearly or reading text on a computer?,你看电视或电脑屏幕上的文字是否有看不清楚的地方？,,,,,,
SA133.1,llm-cataract-hpi-us@1.0.0,"Yes, the TV is blurry even when I sit close.",是的，即使我坐得很近，电视画面还是模糊不清。,,,,,,
SA133.2,llm-cataract-hpi-us@1.0.0,I can't read subtitles on the TV anymore.,我再也不能在电视上读字幕了。,,,,,,
SA133.3,llm-cataract-hpi-us@1.0.0,Computer work is very difficult for my eyes.,電腦工作對我的眼睛來說非常困難。,,,,,,
SA133.4,llm-cataract-hpi-us@1.0.0,"No, I can see the TV and computer just fine.",不，我可以很清楚地看到电视和电脑。,,,,,,
SA133.5,llm-cataract-hpi-us@1.0.0,Screens are not a problem.,屏幕不是问题。,,,,,,
SA133.6,llm-cataract-hpi-us@1.0.0,I don't really watch TV or use a computer.,我不太看电视，也不用电脑。,,,,,,
SQ134,llm-cataract-hpi-us@1.0.0,"Do you have any trouble judging steps or curbs, or have you had any falls related to your vision?",你在判断楼梯或路缘时有困难，或者由于视力问题而发生过摔倒吗？,,,,,,
SA134.1,llm-cataract-hpi-us@1.0.0,"Yes, I've tripped on curbs a few times.",是的，我几次都被路缘绊倒过。,,,,,,
SA134.2,llm-cataract-hpi-us@1.0.0,I fell down some stairs because I misjudged them.,我因为判断错误而从楼梯上摔了下来。,,,,,,
SA134.3,llm-cataract-hpi-us@1.0.0,I feel unsteady on uneven ground.,我在不平的地面上感到站不稳。,,,,,,
SA134.4,llm-cataract-hpi-us@1.0.0,No trouble with steps at all.,完全没有楼梯的问题。,,,,,,
SA134.5,llm-cataract-hpi-us@1.0.0,"I'm not sure, I haven't really noticed.",我不确定，我其实没怎么注意。,,,,,,
SQ135,llm-cataract-hpi-us@1.0.0,"Do you have any trouble with detailed tasks like sewing, knitting, carpentry, or handwriting because of your vision?",由于视力问题，您是否在缝纫、编织、木工或书写等需要细致的任务中遇到困难？,,,,,,
SA135.1,llm-cataract-hpi-us@1.0.0,"Yes, I've had to stop knitting because I can't see well enough.",是的，我不得不停止编织，因为我的视力不够好。,,,,,,
SA135.2,llm-cataract-hpi-us@1.0.0,Threading a needle is impossible now.,现在已经无法穿针了。,,,,,,
SA135.3,llm-cataract-hpi-us@1.0.0,My handwriting has gotten worse because I can't see the lines.,我的笔迹变得更糟糕了，因为我看不到线条。,,,,,,
SA135.4,llm-cataract-hpi-us@1.0.0,"No, I can still do detailed work fine.",不，我仍然可以很好地做细致的工作。,,,,,,
SA135.5,llm-cataract-hpi-us@1.0.0,I don't do any of those activities.,我不做那些活动。,,,,,,
SQ136,llm-cataract-hpi-us@1.0.0,"Have you ever had laser eye surgery like LASIK or PRK, or an older procedure called radial keratotomy?",你是否曾经接受过激光眼科手术，如LASIK或PRK，或者一种叫做放射性角膜切开术的老式手术？,,,,,,
SA136.1,llm-cataract-hpi-us@1.0.0,"Yes, I had LASIK about 10 years ago.",是的，我大约十年前做了LASIK手术。,,,,,,
SA136.2,llm-cataract-hpi-us@1.0.0,I had PRK on both eyes.,我在两只眼睛上做了PRK手术。,,,,,,
SA136.3,llm-cataract-hpi-us@1.0.0,I had radial keratotomy back in the 90s.,90年代，我接受了放射性角膜切开术。,,,,,,
SA136.4,llm-cataract-hpi-us@1.0.0,"No, I've never had any laser eye surgery.",没有，我从未进行过激光眼科手术。,,,,,,
SA136.5,llm-cataract-hpi-us@1.0.0,No refractive surgery for me.,我不需要屈光手术。,,,,,,
SA136.6,llm-cataract-hpi-us@1.0.0,"I'm not sure, it was a long time ago.",我不确定，那已经是很久以前的事情了。,,,,,,
SQ137,llm-cataract-hpi-us@1.0.0,Do you currently wear contact lenses?,您目前是否佩戴隐形眼镜？,,,,,,
SA137.1,llm-cataract-hpi-us@1.0.0,"Yes, I wear soft contact lenses.",是的，我戴软性隐形眼镜。,,,,,,
SA137.2,llm-cataract-hpi-us@1.0.0,I use rigid gas permeable lenses.,我使用刚性气体透气镜片。,,,,,,
SA137.3,llm-cataract-hpi-us@1.0.0,"Yes, daily disposables.",是的，每日一次性隐形眼镜。,,,,,,
SA137.4,llm-cataract-hpi-us@1.0.0,"No, I don't wear contacts.",不，我不戴隐形眼镜。,,,,,,
SA137.5,llm-cataract-hpi-us@1.0.0,I only wear glasses.,我只戴眼镜。,,,,,,
SA137.6,llm-cataract-hpi-us@1.0.0,I used to but stopped a few years ago.,我曾经有过，但几年前就停止了。,,,,,,
SQ138,llm-cataract-hpi-us@1.0.0,Have you ever been diagnosed with glaucoma or told you have high eye pressure?,你曾经被诊断出患有青光眼或者被告知你有高眼压吗？,,,,,,
SA138.1,llm-cataract-hpi-us@1.0.0,"Yes, I have glaucoma and use drops for it.",是的，我有青光眼，并且使用眼药水来治疗。,,,,,,
SA138.2,llm-cataract-hpi-us@1.0.0,I was told I have high eye pressure.,有人告诉我我的眼压很高。,,,,,,
SA138.3,llm-cataract-hpi-us@1.0.0,I had laser treatment for glaucoma.,我接受了激光治疗青光眼。,,,,,,
SA138.4,llm-cataract-hpi-us@1.0.0,"No, I've never had glaucoma or high eye pressure.",“ 不，我从未患过青光眼或眼压过高。 ”,,,,,,
SA138.5,llm-cataract-hpi-us@1.0.0,My eye pressure has always been normal.,我的眼压一直是正常的。,,,,,,
SA138.6,llm-cataract-hpi-us@1.0.0,"I don't remember, I'd have to check my records.",我不记得，我得查一下我的记录。,,,,,,
SQ139,llm-cataract-hpi-us@1.0.0,Have you ever been diagnosed with diabetes?,你曾经被诊断出患有糖尿病吗？,,,,,,
SA139.1,llm-cataract-hpi-us@1.0.0,"Yes, I have Type 2 diabetes.",是的，我患有2型糖尿病。,,,,,,
SA139.2,llm-cataract-hpi-us@1.0.0,I'm diabetic and take insulin.,我是糖尿病患者，需要注射胰岛素。,,,,,,
SA139.3,llm-cataract-hpi-us@1.0.0,I control my diabetes with diet and medication.,我通过饮食和药物来控制我的糖尿病。,,,,,,
SA139.4,llm-cataract-hpi-us@1.0.0,"No, I don't have diabetes.",“ 不是的，我没有糖尿病。 ”,,,,,,
SA139.5,llm-cataract-hpi-us@1.0.0,My blood sugar has always been normal.,我的血糖一直都很正常。,,,,,,
SA139.6,llm-cataract-hpi-us@1.0.0,"I'm pre-diabetic, does that count?",我是预糖尿病患者，这算数吗？,,,,,,
SQ140,llm-cataract-hpi-us@1.0.0,Have you ever had a significant injury to your eye?,你曾经有过对眼睛的严重损伤吗？,,,,,,
SA140.1,llm-cataract-hpi-us@1.0.0,"Yes, I had a metal fragment injury years ago.",“是的，我几年前曾经受到过金属碎片的伤害。”,,,,,,
SA140.2,llm-cataract-hpi-us@1.0.0,I was hit in the eye playing sports and needed surgery.,我在打运动时被击中眼睛，需要手术。,,,,,,
SA140.3,llm-cataract-hpi-us@1.0.0,I had a serious eye injury as a child.,我小时候曾经有过严重的眼部损伤。,,,,,,
SA140.4,llm-cataract-hpi-us@1.0.0,"No, I've never injured my eye.",没有，我从来没有伤过眼睛。,,,,,,
SA140.5,llm-cataract-hpi-us@1.0.0,No eye injuries.,没有眼部损伤。,,,,,,
SA140.6,llm-cataract-hpi-us@1.0.0,Nothing significant that I remember.,没有什么让我印象深刻的事情。,,,,,,
SQ141,llm-cataract-hpi-us@1.0.0,"Do you have a history of a lazy eye, or have you ever had surgery on your eye muscles?",你有懒眼的病史，或者曾经进行过眼肌手术吗？,,,,,,
SA141.1,llm-cataract-hpi-us@1.0.0,"Yes, I had a lazy eye as a child.",是的，我小时候有斜视。,,,,,,
SA141.2,llm-cataract-hpi-us@1.0.0,I had strabismus surgery when I was young.,我年轻时做过斜视手术。,,,,,,
SA141.3,llm-cataract-hpi-us@1.0.0,My eyes don't always work together.,我的眼睛并不总是协调工作。,,,,,,
SA141.4,llm-cataract-hpi-us@1.0.0,"No, I've never had a lazy eye.",“ 没有，我从来没有过懒眼。 ”,,,,,,
SA141.5,llm-cataract-hpi-us@1.0.0,No eye muscle problems.,没有眼肌问题。,,,,,,
SA141.6,llm-cataract-hpi-us@1.0.0,What do you mean by lazy eye?,你说的懒眼是什么意思？,,,,,,
SQ142,llm-cataract-hpi-us@1.0.0,"Have you had any other eye surgeries or procedures, like retinal surgery or eye injections?",您是否曾经接受过其他眼部手术或治疗，例如视网膜手术或眼部注射？,,,,,,
SA142.1,llm-cataract-hpi-us@1.0.0,"Yes, I've had injections for macular degeneration.",是的，我已经接受了黄斑变性的注射治疗。,,,,,,
SA142.2,llm-cataract-hpi-us@1.0.0,I had retinal detachment surgery.,我做了视网膜脱离手术。,,,,,,
SA142.3,llm-cataract-hpi-us@1.0.0,I had vitrectomy surgery last year.,我去年做了玻璃体切除手术。,,,,,,
SA142.4,llm-cataract-hpi-us@1.0.0,"No, no other eye surgeries.",“ 不，不需要其他眼科手术。 ”,,,,,,
SA142.5,llm-cataract-hpi-us@1.0.0,This would be my first eye procedure.,这将是我第一次眼部手术。,,,,,,
SA142.6,llm-cataract-hpi-us@1.0.0,I can't remember all the procedures I've had.,我记不住我做过的所有手术。,,,,,,
SQ143,llm-cataract-hpi-us@1.0.0,"Do you take any medication for prostate issues or urinary problems, such as Flomax or tamsulosin?",您是否因前列腺问题或尿路问题而服用任何药物，例如Flomax或坦索罗辛？,,,,,,
SA143.1,llm-cataract-hpi-us@1.0.0,"Yes, I take Flomax for my prostate.",是的，我服用Flomax来治疗我的前列腺。,,,,,,
SA143.2,llm-cataract-hpi-us@1.0.0,I'm on tamsulosin.,我正在服用坦索罗辛。,,,,,,
SA143.3,llm-cataract-hpi-us@1.0.0,I used to take Flomax but stopped last year.,我以前服用过Flomax，但去年停止了。,,,,,,
SA143.4,llm-cataract-hpi-us@1.0.0,"No, I don't take any prostate medication.",“ 不，我不服用任何前列腺药物。 ”,,,,,,
SA143.5,llm-cataract-hpi-us@1.0.0,I've never taken anything like that.,我从来没有经历过那样的事情。,,,,,,
SA143.6,llm-cataract-hpi-us@1.0.0,I'm not sure of the name of my medication.,我不确定我的药物的名称。,,,,,,
FQ2,llm-cataract-pre-assessment@1.0.0,Are you taking any blood thinners?,你正在服用任何抗凝血药吗？,,,,,,
FA2.1,llm-cataract-pre-assessment@1.0.0,yes I take warfarin for my heart condition,是的，我因为心脏病而服用华法林。,,,,,,
FA2.2,llm-cataract-pre-assessment@1.0.0,I'm on aspirin daily,我每天都在服用阿司匹林,,,,,,
FA2.3,llm-cataract-pre-assessment@1.0.0,yes but I don't know the name,是的，但我不知道名字,,,,,,
FA2.4,llm-cataract-pre-assessment@1.0.0,I take Ramipril is that a blood thinner,我服用雷米普利，那是一种抗凝剂吗？,,,,,,
FA2.5,llm-cataract-pre-assessment@1.0.0,yes I'm on clopidogrel,是的，我正在服用氯吡格雷,,,,,,
FA2.6,llm-cataract-pre-assessment@1.0.0,apixaban,阿匹沙班,,,,,,
FA2.7,llm-cataract-pre-assessment@1.0.0,yes,是的,,,,,,
FQ3,llm-cataract-pre-assessment@1.0.0,"To ensure we have a full picture of your health, I need to ask about any medications you take. Do you take any regular medication?",为了确保我们对您的健康状况有全面了解，我需要询问您是否正在服用任何药物。您是否有服用任何常规药物？,,,,,,
FA3.1,llm-cataract-pre-assessment@1.0.0,yes I take metformin for my diabetes,是的，我服用二甲双胍来控制我的糖尿病,,,,,,
FA3.2,llm-cataract-pre-assessment@1.0.0,I'm on insulin,我正在使用胰岛素,,,,,,
FA3.3,llm-cataract-pre-assessment@1.0.0,yes for my blood pressure,对我的血压来说是的,,,,,,
FA3.4,llm-cataract-pre-assessment@1.0.0,I take several medications daily,我每天服用几种药物,,,,,,
FA3.5,llm-cataract-pre-assessment@1.0.0,I'm on ramipril for high blood pressure,我正在服用拉米普利治疗高血压,,,,,,
FA3.6,llm-cataract-pre-assessment@1.0.0,I'm on ramipril for high blood pressure and also take vitamin D supplements,我正在服用拉米普利治疗高血压，同时也服用维生素D补充剂,,,,,,
FA3.7,llm-cataract-pre-assessment@1.0.0,yes for my blood pressure and cholesterol,“是的，用于我的血压和胆固醇”,,,,,,
FQ4,llm-cataract-pre-assessment@1.0.0,Do you regularly use a wheelchair?,您经常使用轮椅吗？,,,,,,
FA4.1,llm-cataract-pre-assessment@1.0.0,yes I need help getting in and out of it,是的，我需要帮助进出它,,,,,,
FA4.2,llm-cataract-pre-assessment@1.0.0,sorry what,对不起什么,,,,,,
FA4.3,llm-cataract-pre-assessment@1.0.0,I use one when I go out shopping,我外出购物时会用一个,,,,,,
FA4.4,llm-cataract-pre-assessment@1.0.0,yes my carer helps me transfer,是的，我的护理人员帮助我转移,,,,,,
FA4.5,llm-cataract-pre-assessment@1.0.0,yes I can't walk at all,是的，我根本不能走路,,,,,,
FA4.6,llm-cataract-pre-assessment@1.0.0,yes,是的,,,,,,
FA4.7,llm-cataract-pre-assessment@1.0.0,no,不,,,,,,
FQ5,llm-cataract-pre-assessment@1.0.0,Do you usually need assistance getting in and out of your chair?,你通常需要帮助上下椅子吗？,,,,,,
FA5.1,llm-cataract-pre-assessment@1.0.0,yes,是的,,,,,,
FA5.2,llm-cataract-pre-assessment@1.0.0,no I can manage on my own,“不，我可以自己处理”,,,,,,
FA5.3,llm-cataract-pre-assessment@1.0.0,my wife helps me,我妻子帮助我,,,,,,
FA5.4,llm-cataract-pre-assessment@1.0.0,sometimes,有时,,,,,,
FQ7,llm-cataract-pre-assessment@1.0.0,What blood thinners do you take?,你服用什么样的抗凝药？,,,,,,
FA7.1,llm-cataract-pre-assessment@1.0.0,warfarin,华法林,,,,,,
FA7.2,llm-cataract-pre-assessment@1.0.0,aspirin,阿司匹林,,,,,,
FA7.3,llm-cataract-pre-assessment@1.0.0,clopidogrel,氯吡格雷,,,,,,
FA7.4,llm-cataract-pre-assessment@1.0.0,I'm not sure of the name,我不确定名字,,,,,,
FQ8,llm-cataract-pre-assessment@1.0.0,Do you take warfarin?,你是否服用华法林？,,,,,,
FA8.1,llm-cataract-pre-assessment@1.0.0,yes,是的,,,,,,
FA8.2,llm-cataract-pre-assessment@1.0.0,no,不,,,,,,
FA8.3,llm-cataract-pre-assessment@1.0.0,I used to but not anymore,我曾经但现在不再了,,,,,,
FQ9,llm-cataract-pre-assessment@1.0.0,Do you take medication to control your diabetes?,你是否服用药物来控制你的糖尿病？,,,,,,
FA9.1,llm-cataract-pre-assessment@1.0.0,yes metformin,是 二甲双胍,,,,,,
FA9.2,llm-cataract-pre-assessment@1.0.0,I'm on insulin,我正在使用胰岛素,,,,,,
FA9.3,llm-cataract-pre-assessment@1.0.0,no I don't have diabetes,“ 我没有糖尿病 ”,,,,,,
FQ10,llm-cataract-pre-assessment@1.0.0,Do you take any tablets to control your blood pressure?,你有服用任何药片来控制血压吗？,,,,,,
FA10.1,llm-cataract-pre-assessment@1.0.0,yes ramipril,是雷米普利,,,,,,
FA10.2,llm-cataract-pre-assessment@1.0.0,no my blood pressure is fine,“ 不是，我的血压很正常 ”,,,,,,
FA10.3,llm-cataract-pre-assessment@1.0.0,amlodipine,阿米洛地平,,,,,,
FQ48,llm-cataract-pre-assessment@1.0.0,"Are you taking any blood thinners (e.g. Warfarin, Apixaban, Rivaroxaban, Clopidogrel, or Aspirin)?",您是否服用任何抗凝血药物（例如华法林、阿匹沙班、利伐沙班、氯吡格雷或阿司匹林）？,,,,,,
FA48.1,llm-cataract-pre-assessment@1.0.0,yeah i take warfarin,是的，我服用华法林,,,,,,
FA48.2,llm-cataract-pre-assessment@1.0.0,Yes,是的,,,,,,
FQ76,llm-cataract-pre-assessment@1.0.0,Are you taking any,你正在服用任何,,,,,,
FA76.1,llm-cataract-pre-assessment@1.0.0,what,什么,,,,,,
FQ77,llm-cataract-pre-assessment@1.0.0,Are you,你是吗？,,,,,,
FA77.1,llm-cataract-pre-assessment@1.0.0,sorry,对不起,,,,,,
FQ78,llm-cataract-pre-assessment@1.0.0,"To ensure we have a full picture of your health, I need to ask about any medications you take.",为了确保我们对您的健康状况有一个全面了解，我需要询问您正在服用的任何药物。,,,,,,
FA78.1,llm-cataract-pre-assessment@1.0.0,ok,“ 好 ”,,,,,,
FQ79,llm-cataract-pre-assessment@1.0.0,What,什么,,,,,,
FA79.1,llm-cataract-pre-assessment@1.0.0,hello,你好,,,,,,
SQ65,llm-cataract-pre-assessment@1.0.0,Do you normally drive?,你平常都開車嗎？,,,,,,
SA65.1,llm-cataract-pre-assessment@1.0.0,yes I drive to work every day,我每天开车去上班,,,,,,
SA65.2,llm-cataract-pre-assessment@1.0.0,yes I do,是的，我做,,,,,,
SA65.3,llm-cataract-pre-assessment@1.0.0,no I stopped driving,“不，我已经停止驾驶”,,,,,,
SA65.4,llm-cataract-pre-assessment@1.0.0,no I don't drive,“不，我不会开车”,,,,,,
SA65.5,llm-cataract-pre-assessment@1.0.0,I used to but not anymore,我曾经但现在不再了,,,,,,
SA65.6,llm-cataract-pre-assessment@1.0.0,my son drives me everywhere,我的儿子开车带我去任何地方,,,,,,
SA65.7,llm-cataract-pre-assessment@1.0.0,I take the bus,我坐公交车,,,,,,
SQ66,llm-cataract-pre-assessment@1.0.0,"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?",你的视力是否影响了你工作、驾驶、阅读、看电视或辨认面孔的能力？,,,,,,
SA66.1,llm-cataract-pre-assessment@1.0.0,yes it's hard to read now,是的，现在很难阅读,,,,,,
SA66.2,llm-cataract-pre-assessment@1.0.0,I can't recognize people's faces anymore,我已经无法辨认别人的脸了,,,,,,
SA66.3,llm-cataract-pre-assessment@1.0.0,no not really,“不，不真的”,,,,,,
SA66.4,llm-cataract-pre-assessment@1.0.0,it's getting harder to drive at night,晚上开车越来越难了,,,,,,
SQ67,llm-cataract-pre-assessment@1.0.0,Is your eyesight causing falls or mobility problems?,您的视力是否导致跌倒或行动不便？,,,,,,
SA67.1,llm-cataract-pre-assessment@1.0.0,yes I've fallen twice,是的，我已经摔倒两次了,,,,,,
SA67.2,llm-cataract-pre-assessment@1.0.0,I go more slowly now,我现在走得更慢了,,,,,,
SA67.3,llm-cataract-pre-assessment@1.0.0,no no falls,不 不 掉,,,,,,
SQ68,llm-cataract-pre-assessment@1.0.0,Have you ever had laser eye surgeries to improve your vision?,你曾经做过激光眼科手术来改善视力吗？,,,,,,
SA68.1,llm-cataract-pre-assessment@1.0.0,yes LASIK about 10 years ago,是的，大约十年前做了LASIK手术,,,,,,
SA68.2,llm-cataract-pre-assessment@1.0.0,I had laser surgery in 2015,2015年我进行了激光手术,,,,,,
SA68.3,llm-cataract-pre-assessment@1.0.0,no never,不 从不,,,,,,
SA68.4,llm-cataract-pre-assessment@1.0.0,I've had eye surgery but not laser,我做过眼部手术，但不是激光手术,,,,,,
SA68.5,llm-cataract-pre-assessment@1.0.0,what kind of laser surgery?,是什么样的激光手术？,,,,,,
SQ69,llm-cataract-pre-assessment@1.0.0,"So apart from cataract surgery, have you ever had any other eye operations, on either of your eyes?",除了白内障手术，你是否曾经在任一只眼睛上进行过其他眼科手术？,,,,,,
SA69.1,llm-cataract-pre-assessment@1.0.0,yes I had glaucoma surgery,是的，我做过青光眼手术,,,,,,
SA69.2,llm-cataract-pre-assessment@1.0.0,I had a detached retina fixed,我修复了脱落的视网膜,,,,,,
SA69.3,llm-cataract-pre-assessment@1.0.0,no no other operations,没有其他操作,,,,,,
SA69.4,llm-cataract-pre-assessment@1.0.0,I've had eye tests but no operations,我做过眼部检查，但没有进行过手术,,,,,,
SQ70,llm-cataract-pre-assessment@1.0.0,"And have you ever had a severe eye injury, to either of your eyes?",你曾经有过严重的眼部损伤吗，不管是哪只眼睛？,,,,,,
SA70.1,llm-cataract-pre-assessment@1.0.0,yes I had a chemical burn years ago,是的，我多年前曾经有过化学烧伤,,,,,,
SA70.2,llm-cataract-pre-assessment@1.0.0,I got hit in the eye with a tennis ball once,我曾经被网球打中过眼睛,,,,,,
SA70.3,llm-cataract-pre-assessment@1.0.0,no never injured my eyes,从不曾伤害过我的眼睛,,,,,,
SA70.4,llm-cataract-pre-assessment@1.0.0,just the usual irritations nothing severe,只是通常的烦恼，没有什么严重的,,,,,,
SQ71,llm-cataract-pre-assessment@1.0.0,Are you being seen or treated for any other eye conditions?,您是否正在接受其他眼科疾病的检查或治疗？,,,,,,
SA71.1,llm-cataract-pre-assessment@1.0.0,yes I have glaucoma,是的，我有青光眼,,,,,,
SA71.2,llm-cataract-pre-assessment@1.0.0,I'm being treated for macular degeneration,我正在接受老年黄斑变性的治疗,,,,,,
SA71.3,llm-cataract-pre-assessment@1.0.0,no just the cataracts,不只是白内障,,,,,,
SA71.4,llm-cataract-pre-assessment@1.0.0,I have dry eyes but nothing serious,我有干眼症，但不是什么严重的病。,,,,,,
SQ72,llm-cataract-pre-assessment@1.0.0,"Do you have any of the following, a severe heart problem, a severe breathing problem, or an implantable defibrillator?",您是否有以下任何情况：严重的心脏问题，严重的呼吸问题，或者可植入式除颤器？,,,,,,
SA72.1,llm-cataract-pre-assessment@1.0.0,yes I have a defibrillator,是的，我有一个除颤器,,,,,,
SA72.2,llm-cataract-pre-assessment@1.0.0,I have severe COPD,我患有严重的慢性阻塞性肺疾病（COPD）,,,,,,
SA72.3,llm-cataract-pre-assessment@1.0.0,no none of those,没有那些,,,,,,
SA72.4,llm-cataract-pre-assessment@1.0.0,I have mild asthma but it's controlled,我有轻度哮喘，但已经得到控制,,,,,,
SQ73,llm-cataract-pre-assessment@1.0.0,Are you taking any blood thinners?,你正在服用任何抗凝血药吗？,,,,,,
SA73.1,llm-cataract-pre-assessment@1.0.0,yes I take warfarin,是的，我服用华法林,,,,,,
SA73.2,llm-cataract-pre-assessment@1.0.0,I'm on aspirin daily,我每天都在服用阿司匹林,,,,,,
SA73.3,llm-cataract-pre-assessment@1.0.0,no no blood thinners,不不用抗凝剂,,,,,,
SA73.4,llm-cataract-pre-assessment@1.0.0,I'm not sure what that is,我不确定那是什么,,,,,,
