language,source_file,deduped_identifier,row_type,topic_key,hash,source_identifiers,original_text,translated_text
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.5,answer,llm-cataract-pre-assessment@1.0.0,1a8c2838ddab,FA3.5,I'm on ramipril for high blood pressure,أنا أتناول راميبيريل لارتفاع ضغط الدم
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.6,answer,llm-cataract-pre-assessment@1.0.0,9c7d40bffcd9,FA3.8,I'm on ramipril for high blood pressure and also take vitamin D supplements,أنا آخذ راميبيريل لضغط الدم المرتفع وأتناول أيضًا مكملات فيتامين د
Arabic,detect_followup_info_in_previous_user_response.csv,FA3.7,answer,llm-cataract-pre-assessment@1.0.0,9f4ebba0e191,FA3.9,yes for my blood pressure and cholesterol,نعم من أجل ضغط الدم والكوليسترول
Arabic,detect_followup_info_in_previous_user_response.csv,FQ4,question,llm-cataract-pre-assessment@1.0.0,35a5805bef35,FQ4,Do you regularly use a wheelchair?,هل تستخدم كرسيًا متحركًا بانتظام؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.1,answer,llm-cataract-pre-assessment@1.0.0,fd5f6802fa60,FA4.1,yes I need help getting in and out of it,نعم أنا أحتاج إلى مساعدة للخروج والدخول منه
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.2,answer,llm-cataract-pre-assessment@1.0.0,cd11c2da0fb2,FA4.2,sorry what,عذرًا ماذا
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.3,answer,llm-cataract-pre-assessment@1.0.0,2cee58f41010,FA4.3,I use one when I go out shopping,أستخدم واحدًا عندما أذهب للتسوق
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.4,answer,llm-cataract-pre-assessment@1.0.0,31f308437ad0,FA4.4,yes my carer helps me transfer,نعم، قائمتي الرعاية يساعدني في النقل
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.5,answer,llm-cataract-pre-assessment@1.0.0,4e82dc3ca193,FA4.5,yes I can't walk at all,نعم لا أستطيع المشي على الإطلاق
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.6,answer,llm-cataract-pre-assessment@1.0.0,4fa0b62c7c23,FA4.6,yes,نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FA4.7,answer,llm-cataract-pre-assessment@1.0.0,d44e47ec5aeb,FA4.7,no,لا
Arabic,detect_followup_info_in_previous_user_response.csv,FQ5,question,llm-cataract-pre-assessment@1.0.0,0e5f50246ec3,FQ5,Do you usually need assistance getting in and out of your chair?,هل تحتاج عادةً إلى مساعدة للجلوس والوقوف من كرسيك؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA5.1,answer,llm-cataract-pre-assessment@1.0.0,319f661f568d,FA5.1,yes,نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FA5.2,answer,llm-cataract-pre-assessment@1.0.0,017711ef7826,FA5.2,no I can manage on my own,لا، أستطيع التعامل مع الأمر بنفسي
Arabic,detect_followup_info_in_previous_user_response.csv,FA5.3,answer,llm-cataract-pre-assessment@1.0.0,e5d9a16d09e3,FA5.3,my wife helps me,زوجتي تساعدني
Arabic,detect_followup_info_in_previous_user_response.csv,FA5.4,answer,llm-cataract-pre-assessment@1.0.0,4caa9893ee6d,FA5.4,sometimes,في بعض الأحيان
Arabic,detect_followup_info_in_previous_user_response.csv,FQ6,question,llm-preop-cataract@1.0.0,5738b049a780,FQ6,Is your eyesight causing falls or mobility problems?,هل يسبب ضعف البصر لديك السقوط أو مشاكل في الحركة؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA6.1,answer,llm-preop-cataract@1.0.0,9fe8833081b1,FA6.1,yes I've fallen a few times,نعم سقطت عدة مرات
Arabic,detect_followup_info_in_previous_user_response.csv,FA6.2,answer,llm-preop-cataract@1.0.0,f97c8fae892f,FA6.2,no not really,لا، ليس حقًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA6.3,answer,llm-preop-cataract@1.0.0,be28d15bb24f,FA6.3,I feel a bit unbalanced sometimes going downstairs,أشعر أحيانًا بعدم التوازن قليلاً عند النزول بالدرج
Arabic,detect_followup_info_in_previous_user_response.csv,FA6.4,answer,llm-preop-cataract@1.0.0,5fbb180f18af,FA6.4,I go more slowly,أذهب ببطء أكبر
Arabic,detect_followup_info_in_previous_user_response.csv,FQ7,question,llm-cataract-pre-assessment@1.0.0,6c484a5ef7e1,FQ7,What blood thinners do you take?,ما هو منظمات الدم التي تتناولها؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA7.1,answer,llm-cataract-pre-assessment@1.0.0,94a52a77b461,FA7.1,warfarin,وارفارين
Arabic,detect_followup_info_in_previous_user_response.csv,FA7.2,answer,llm-cataract-pre-assessment@1.0.0,f1495f9eb025,FA7.2,aspirin,أسبيرين
Arabic,detect_followup_info_in_previous_user_response.csv,FA7.3,answer,llm-cataract-pre-assessment@1.0.0,baab70cd6573,FA7.3,clopidogrel,كلوپيدوجريل
Arabic,detect_followup_info_in_previous_user_response.csv,FA7.4,answer,llm-cataract-pre-assessment@1.0.0,6e2e5c16a8e3,FA7.4,I'm not sure of the name,لست متأكدا من الاسم
Arabic,detect_followup_info_in_previous_user_response.csv,FQ8,question,llm-cataract-pre-assessment@1.0.0,c582b50129d9,FQ8,Do you take warfarin?,هل تتناول حبوب وارفارين؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA8.1,answer,llm-cataract-pre-assessment@1.0.0,2b6e909cb889,FA8.1,yes,نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FA8.2,answer,llm-cataract-pre-assessment@1.0.0,667a40f619c3,FA8.2,no,لا
Arabic,detect_followup_info_in_previous_user_response.csv,FA8.3,answer,llm-cataract-pre-assessment@1.0.0,73bcabcd3c97,FA8.3,I used to but not anymore,كنت أفعل ولكن لا الآن
Arabic,detect_followup_info_in_previous_user_response.csv,FQ9,question,llm-cataract-pre-assessment@1.0.0,b24c0fb25989,FQ9,Do you take medication to control your diabetes?,هل تتناول أدوية لمراقبة السكر في دمك؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA9.1,answer,llm-cataract-pre-assessment@1.0.0,5e54eb737df3,FA9.1,yes metformin,نعم ميتفورمين
Arabic,detect_followup_info_in_previous_user_response.csv,FA9.2,answer,llm-cataract-pre-assessment@1.0.0,d719c5ce365d,FA9.2,I'm on insulin,أنا على إنسولين
Arabic,detect_followup_info_in_previous_user_response.csv,FA9.3,answer,llm-cataract-pre-assessment@1.0.0,df1a93510b69,FA9.3,no I don't have diabetes,لا، ليس لدي داء السكري
Arabic,detect_followup_info_in_previous_user_response.csv,FQ10,question,llm-cataract-pre-assessment@1.0.0,161a02e392ea,FQ10,Do you take any tablets to control your blood pressure?,هل تتناول أي أقراص لمراقبة ضغط الدم؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA10.1,answer,llm-cataract-pre-assessment@1.0.0,f16e34934430,FA10.1,yes ramipril,نعم راميبيريل
Arabic,detect_followup_info_in_previous_user_response.csv,FA10.2,answer,llm-cataract-pre-assessment@1.0.0,83fc0e7b110d,FA10.2,no my blood pressure is fine,لا، ضغط الدم لديّ جيد
Arabic,detect_followup_info_in_previous_user_response.csv,FA10.3,answer,llm-cataract-pre-assessment@1.0.0,add7a53eb85e,FA10.3,amlodipine,أملوديبين
Arabic,detect_followup_info_in_previous_user_response.csv,FQ11,question,llm-cataract@1.0.0,b5a34e47be4c,FQ11,Are you experiencing any blurry vision after your surgery?,هل تعاني من رؤية مُتَضحِّفة بعد عملية الجراحة؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA11.1,answer,llm-cataract@1.0.0,9c555baa5677,FA11.1|FA11.2,near is fine,قريب كفاية
Arabic,detect_followup_info_in_previous_user_response.csv,FQ12,question,llm-cataract@1.0.0,39d1adbdc65f,FQ12,"Are you having trouble seeing clearly at a distance, up close, or both?",هل تواجه صعوبة في الرؤية بوضوح على مسافة، أو من القرب، أو كلاهما؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.1,answer,llm-cataract@1.0.0,10b2d4371a3d,FA12.1,near is fine,قريب كفاية
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.2,answer,llm-cataract@1.0.0,b223b39015c2,FA12.2|FA12.3|FA12.4,yes at a distance,نعم على بعد
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.3,answer,llm-cataract@1.0.0,0a803247f453,FA12.5|FA12.6|FA12.7,yes up close,نعم على مقربة
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.4,answer,llm-cataract@1.0.0,629cb0d657aa,FA12.8|FA12.9|FA12.10|FA12.21,both,كلا
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.5,answer,llm-cataract@1.0.0,ed0f5783be55,FA12.11|FA12.12|FA12.13,i cant see far or near,لا أستطيع رؤية بعيدًا أو قريبًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.6,answer,llm-cataract@1.0.0,cc65dc05d9d9,FA12.14|FA12.15|FA12.16,i cant see up close,لا أستطيع الرؤية من القرب
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.7,answer,llm-cataract@1.0.0,68e22434c2f1,FA12.17|FA12.18|FA12.19,i cant see far,لا أستطيع أن أرى بعيداً
Arabic,detect_followup_info_in_previous_user_response.csv,FA12.8,answer,llm-cataract@1.0.0,47bba84f3012,FA12.20|FA12.22|FA12.23,yes,نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FQ13,question,llm-cataract@1.0.0,772217c912d2,FQ13,"I want to gather some information about how your eye's healing, which I'll share with your doctor. So, how's your eye doing since your surgery?",أريد جمع بعض المعلومات حول كيفية شفاء عينك، والتي سأشاركها مع طبيبك.，所以، كيف حال عينك منذ عملية الجراحة؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA13.1,answer,llm-cataract@1.0.0,82e7b309bb73,FA13.1|FA13.2|FA13.3,um I think I'm doing all right uh a little bit itchy sometimes a couple of floaters,أنا أعتقد أنني أحسن حالا قليلا أحيانا أشعر بالحكة و أحيانا تظهر أمامي بقع طافية
Arabic,detect_followup_info_in_previous_user_response.csv,FQ14,question,llm-cataract@1.0.0,efba8ecb8a9d,FQ14,"Are you experiencing any blurry vision, either when you're looking at things far away or when you're reading?",هل تعاني من رؤية غير واضحة، سواء عند النظر إلى الأشياء من بعيد أو عند القراءة؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA14.1,answer,llm-cataract@1.0.0,bfc065101078,FA14.1,yes yes I have yes,نعم نعم لدي نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FA14.2,answer,llm-cataract@1.0.0,6618130a6878,FA14.2,I can't read vey well,لا أستطيع القراءة جيداً
Arabic,detect_followup_info_in_previous_user_response.csv,FA14.3,answer,llm-cataract@1.0.0,7837d8123b09,FA14.3,yes when I read,نعم عندما أقرأ
Arabic,detect_followup_info_in_previous_user_response.csv,FA14.4,answer,llm-cataract@1.0.0,213cde237a95,FA14.4,yes both,نعم كلا
Arabic,detect_followup_info_in_previous_user_response.csv,FA14.5,answer,llm-cataract@1.0.0,f2ae6306d6c5,FA14.5,only at a distance,فقط على بعد
Arabic,detect_followup_info_in_previous_user_response.csv,FA14.6,answer,llm-cataract@1.0.0,9f6edfef3940,FA14.6,yes I can't see far away,نعم لا أستطيع أن أرى من بعيد
Arabic,detect_followup_info_in_previous_user_response.csv,FQ15,question,llm-cataract@1.0.0,83ef98c1a9fc,FQ15,Is it more when you're watching TV or trying to read something?,هل هو أكثر عندما تشاهد التلفزيون أو تحاول قراءة شيء ما؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA15.1,answer,llm-cataract@1.0.0,dc6bd8ee1398,FA15.1,my reading vision,رؤيتي القرائية
Arabic,detect_followup_info_in_previous_user_response.csv,FA15.2,answer,llm-cataract@1.0.0,56407f0b02fe,FA15.2,watching TV,مشاهدة التلفزيون
Arabic,detect_followup_info_in_previous_user_response.csv,FA15.3,answer,llm-cataract@1.0.0,525ee6d1ebbe,FA15.3,both,كلا
Arabic,detect_followup_info_in_previous_user_response.csv,FA15.4,answer,llm-cataract@1.0.0,cfd436b94900,FA15.4,less when reading,أقل عند القراءة
Arabic,detect_followup_info_in_previous_user_response.csv,FQ16,question,llm-cataract@1.0.0,fcc29e7c1d31,FQ16,Has your vision improved since the surgery,هل تحسنت رؤيتك منذ الجراحة
Arabic,detect_followup_info_in_previous_user_response.csv,FA16.1,answer,llm-cataract@1.0.0,8ca07914ddb1,FA16.1|FA16.3,it has improved to a degree because now I can watch TV but I cannot read,حسناً قد تحسنت إلى حد ما لأنني الآن أستطيع مشاهدة التلفزيون لكن لا أستطيع القراءة
Arabic,detect_followup_info_in_previous_user_response.csv,FA16.2,answer,llm-cataract@1.0.0,78daf7838427,FA16.2,vision improved a little bit.,حسنت الرؤية قليلا.
Arabic,detect_followup_info_in_previous_user_response.csv,FA16.3,answer,llm-cataract@1.0.0,81468027c886,FA16.4,it is really bad compared to before,إنه سيئ حقًا بالمقارنة مع ما قبل ذلك
Arabic,detect_followup_info_in_previous_user_response.csv,FQ17,question,llm-cataract@1.0.0,82c91aa9516a,FQ17,how's your eye doing after cataract surgery,كيف حال عينك بعد عملية إزالة الساد؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.1,answer,llm-cataract@1.0.0,15d590ec940d,FA17.1,"It was better, but now it's blurry",كان أفضل، لكنه الآن غامض
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.2,answer,llm-cataract@1.0.0,cc50daa29d8b,FA17.2,my vision is getting worse,رؤيتي تزداد سوءاً
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.3,answer,llm-cataract@1.0.0,7b87681235cb,FA17.3,I've got like little dots that kind of move about on my I like all of them,لدي شيء مثل النقاط الصغيرة التي تتحرك قليلاً على جهازي وأنا أحبهم جميعاً
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.4,answer,llm-cataract@1.0.0,c701ea663c6f,FA17.4,I see lots of dark dots,أرى الكثير من النقاط الداكنة
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.5,answer,llm-cataract@1.0.0,06d55e7ff4a2,FA17.5,it hurts a lot,يؤلم كثيرًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.6,answer,llm-cataract@1.0.0,2ed0dc5e2079,FA17.6,it's tender,رقيق
Arabic,detect_followup_info_in_previous_user_response.csv,FA17.7,answer,llm-cataract@1.0.0,87c79dad65a7,FA17.7,it is rather red,إنه بالأحرى أحمر
Arabic,detect_followup_info_in_previous_user_response.csv,FQ18,question,llm-cataract@1.0.0,73e40be02e9e,FQ18,Have you noticed any small dark spots or cobwebs in your vision since the surgery?,هل لاحظت أي بقع داكنة صغيرة أو شبكات عنكبوتية في رؤيتك منذ الجراحة؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.1,answer,llm-cataract@1.0.0,3629c870e75b,FA18.1,only for the first week they now have disappeared,فقط خلال الأسبوع الأول الآن قد اختفوا
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.2,answer,llm-cataract@1.0.0,61be4e8bc8af,FA18.2,I did have some before,كان لدي بعض من قبل
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.3,answer,llm-cataract@1.0.0,f1a933a4cc92,FA18.3,when I first did it yes but now it's no more,عندما فعلته لأول مرة نعم ولكن الآن لم يعد كذلك
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.4,answer,llm-cataract@1.0.0,925966e125b6,FA18.4,yes and black spots things like that,نعم والبقع السوداء وأمور من هذا القبيل
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.5,answer,llm-cataract@1.0.0,e243cca36662,FA18.5,I see specks in my vision,أرى بقعا في رؤيتي
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.6,answer,llm-cataract@1.0.0,4557201da766,FA18.6,there are all these little cobweb things,هناك كل هذه الأشياء الصغيرة الشبكية
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.7,answer,llm-cataract@1.0.0,e9b37715f378,FA18.7,a few small little black dots but not much just first thing in the morning and then it goes,نقاط صغيرة سوداء قليلاً ولكن ليس كثيراً فقط في بداية الصباح ثم تختفي
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.8,answer,llm-cataract@1.0.0,c632154af81a,FA18.8,I have had floaters for a couple of years before the surgery,لدي عوامات منذ بضع سنوات قبل الجراحة
Arabic,detect_followup_info_in_previous_user_response.csv,FA18.9,answer,llm-cataract@1.0.0,1bf41ef8087e,FA18.9,I have small dots,لدي نقاط صغيرة
Arabic,detect_followup_info_in_previous_user_response.csv,FQ19,question,llm-cataract@1.0.0,90704421f032,FQ19,So you're saying you have noticed some small dark spots or cobwebs in your vision since the surgery. Can you tell me if they've changed or increased in number since the operation?,إذاً أنت تقول إنك لاحظت بعض البقع الداكنة الصغيرة أو شبكات العنكبوت في رؤيتك منذ الجراحة. هل يمكنك أن تخبرني إذا تغيرت أو увеличت في العدد منذ العملية؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.1,answer,llm-cataract@1.0.0,69aab959308d,FA19.1,it's recently becoming worse,أصبح الأمر في الآونة الأخيرة أسوأ
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.2,answer,llm-cataract@1.0.0,4d0b02a64d14,FA19.2,they are more annoying than before,هم أكثر إزعاجا من ذي قبل
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.3,answer,llm-cataract@1.0.0,832873cb97ac,FA19.3,not an increase I have floaters but not any more than before,ليس هناك زيادة لديّ أشياء عائمة لكن ليس أكثر مما كان من قبل
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.4,answer,llm-cataract@1.0.0,9e849de7e207,FA19.4,I don't think my floaters have increased,لا أظن أن عوامتي قد زادت
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.5,answer,llm-cataract@1.0.0,a942410136ab,FA19.5,I don't think I've had more floaters recently,لا أظن أنني قد عانيت من المزيد من العوامات مؤخرًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.6,answer,llm-cataract@1.0.0,24cd3cf1b35e,FA19.6,the floaters are definitely getting worse,الجسيمات العائمة تتدهور بالتأكيد
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.7,answer,llm-cataract@1.0.0,abafd7bb590a,FA19.7,the blacks dots are more annoying now,النقاط السوداء أكثر إزعاجًا الآن
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.8,answer,llm-cataract@1.0.0,065d30f7d114,FA19.8,no,لا
Arabic,detect_followup_info_in_previous_user_response.csv,FA19.9,answer,llm-cataract@1.0.0,db563db2db37,FA19.9,yes I did not have them before,نعم لم يكن لديهم من قبل
Arabic,detect_followup_info_in_previous_user_response.csv,FQ20,question,llm-cataract@1.0.0,5b25de27ced5,FQ20,Are you experiencing pain in your eye,هل تعاني من ألم في عينك
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.1,answer,llm-cataract@1.0.0,3eaf4d486e38,FA20.1,yes,نعم
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.2,answer,llm-cataract@1.0.0,f89e1e08c845,FA20.2,no too painful know just the site pain and this morning that was all very slight,لا ألم شديد، أعرف فقط موقع الألم، وصبيحة اليوم كان كل شيء خفيف جداً
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.3,answer,llm-cataract@1.0.0,e9bb824b0f39,FA20.3,only after the drops my eye stings,فقط بعد قطرات تشنج عيني
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.4,answer,llm-cataract@1.0.0,75f97953258a,FA20.4,yes it was painful last night yeah after I finished antibiotic,نعم كان مؤلمًا ليلة الأمس نعم بعد أن انتهيت من المضاد الحيوي
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.5,answer,llm-cataract@1.0.0,773d613ed9f1,FA20.5,it's irritating me,من المزعج لي
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.6,answer,llm-cataract@1.0.0,84633c7eb926,FA20.6,yes I have a lot of pain,نعم لدي الكثير من الألم
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.7,answer,llm-cataract@1.0.0,d89af210afcd,FA20.7,it hurts more than gritty,يؤلم أكثر من القسوة
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.8,answer,llm-cataract@1.0.0,08e8d7ad2af6,FA20.8,I am suffering,أنا أعاني
Arabic,detect_followup_info_in_previous_user_response.csv,FA20.9,answer,llm-cataract@1.0.0,6352fa49a999,FA20.9,pain cool over,الألم يبرد أكثر
Arabic,detect_followup_info_in_previous_user_response.csv,FQ21,question,llm-cataract@1.0.0,4b1c770f4265,FQ21,Is your eye currently painful,هل عينك مؤلمة حاليًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA21.1,answer,llm-cataract@1.0.0,92136d4f80c4,FA21.1,I think it's becoming less painful overall,أعتقد أنه يصبح أقل ألمًا بشكل عام
Arabic,detect_followup_info_in_previous_user_response.csv,FQ22,question,llm-cataract@1.0.0,b28d526bdc6b,FQ22,Is the pain in your eye some of the time or all the time?,هل الألم في عينك بعض الوقت أو كل الوقت؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.1,answer,llm-cataract@1.0.0,f81e3d12bfe8,FA22.1,painful all the time,مؤلم دائمًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.2,answer,llm-cataract@1.0.0,5d52e71ccdab,FA22.2,yes sometimes it hurts I feel it when I think I shouldn't I'm aware of it it has it gives me a dull ache,نعم أحيانًا يؤلمني أشعر به عندما أعتقد أنني لا يجب أن أشعر به أنا على دراية به إنه يمنحني ألمًا خفيفًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.3,answer,llm-cataract@1.0.0,f17367323f14,FA22.3,it's painful all the time and especially in the morning,ألم دائم وخاصة في الصباح
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.4,answer,llm-cataract@1.0.0,991db030585e,FA22.4,the pain is decreasing,الألم يتناقص
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.5,answer,llm-cataract@1.0.0,b2b310fa04a8,FA22.5,it was quite bad last yesterday but today this morning when I got up still hurting me as well,كان الأمر سيئًا جدًا الأمس، ولكن اليوم صباحًا عندما استيقظت ما زلت أشعر بالألم أيضًا
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.6,answer,llm-cataract@1.0.0,e6905cb1a009,FA22.6,only when the drops make it stinging,فقط عندما تجعل القطراتها حارقة
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.7,answer,llm-cataract@1.0.0,9239bce71c9e,FA22.7,occasionally a little bit painful,من حين لآخر قليلاً مؤلم
Arabic,detect_followup_info_in_previous_user_response.csv,FA22.8,answer,llm-cataract@1.0.0,c17c0b565972,FA22.8,it feels gritty,يبدو قاسياً
Arabic,detect_followup_info_in_previous_user_response.csv,FQ23,question,llm-cataract@1.0.0,f5f78e1744bd,FQ23,"Thanks So you're feeling a bit sore and it comes and goes. Can you describe this soreness a bit more - is it mostly a gritty or dry sensation, or something else?",شكراً أنت تشعر بشيء من الألم ويتكرر ثم يزول. هل يمكنك وصف هذا الألم بشكل أكثر - هل هو في الغالب شعور خشن أو جاف، أو شيء آخر؟
Arabic,detect_followup_info_in_previous_user_response.csv,FA23.1,answer,llm-cataract@1.0.0,68d95389e220,FA23.1,yeah yes that's exactly right yeah a little bit dry sometimes,نعم أجل هذا صحيح تماما نعم قليلا جاف في بعض الأحيان
